,log_id,response.timestamp,response.context.conversation_id,request_input,response_text,response_entities,response.output.nodes_visited_s,response_dialog_request_counter,response_dialog_stack,response_dialog_turn_counter,response.top_intent_intent,response.top_intent_confidence,Date,Customer ID (must retain for delete)
0,3467403d-1021-41b1-80df-289154b5a7c3,2021-04-09 01:34:50.889000+00:00,d625fe65-dd69-4928-9b5a-08f027b745b1,prevencao,[],[],['node_3_1616363968497'],1,[{'dialog_node': 'node_3_1616363968497'}],1,prevencao,0.9426623821258546,2021-04-09,
1,6a605ca2-919f-45ec-aae1-3c50082b126b,2021-04-09 01:30:52.183000+00:00,5a73c879-56c3-462b-afd7-004540f00c05,prevencao,[],[],['node_3_1616363968497'],1,[{'dialog_node': 'node_3_1616363968497'}],1,prevencao,0.9426623821258546,2021-04-09,
2,91734306-8b2e-47ae-91b0-648bd174c0a9,2021-04-09 01:25:46.802000+00:00,94e8431c-2a21-481f-8658-318026f3f6bf,,['Olá. Como posso te ajudar?'],[],['Bem-vindo'],1,[{'dialog_node': 'root'}],1,,,2021-04-09,
3,054bf864-bef9-4575-b8a4-52049efc5e23,2021-04-09 01:26:33.065000+00:00,5eec8e8d-b0ac-4adf-a7cf-4be1037d0892,ola,['E ai'],[],['node_2_1616547303432'],1,[{'dialog_node': 'root'}],1,boas_vindas,1.0,2021-04-09,
4,f37390b3-1d3d-496d-9b28-9e1b8bcc6fd4,2021-04-09 02:02:47.253000+00:00,4861249e-22b3-4820-b5c3-223ff4bd654b,ola,['Como vai'],[],['node_2_1616547303432'],1,[{'dialog_node': 'root'}],1,boas_vindas,1.0,2021-04-09,
5,89877479-0650-4753-87e1-059778908220,2021-04-09 02:02:47.226000+00:00,c41223e1-c684-49e2-bf59-595160c31dc9,ola,['Olá'],[],['node_2_1616547303432'],1,[{'dialog_node': 'root'}],1,boas_vindas,1.0,2021-04-09,
6,b15d1da0-3d69-45f0-b03e-3dc9d23f4d9f,2021-04-09 02:02:30.314000+00:00,367236d1-b308-401a-99f1-74b1deae15cc,ola,['Oi'],[],['node_2_1616547303432'],1,[{'dialog_node': 'root'}],1,boas_vindas,1.0,2021-04-09,
7,f01eeaa1-d83f-434f-9905-eff164eb96ef,2021-04-09 02:02:30.918000+00:00,ff6ec144-1d24-465f-8b0b-61b8972b05e6,ola,['Oi'],[],['node_2_1616547303432'],1,[{'dialog_node': 'root'}],1,boas_vindas,1.0,2021-04-09,
8,e8683178-18b9-43c8-a54f-3b2ee0cfb718,2021-04-09 02:02:30.887000+00:00,b34408b0-1875-4734-b52f-b3a876fdfb31,ola,['Como vai'],[],['node_2_1616547303432'],1,[{'dialog_node': 'root'}],1,boas_vindas,1.0,2021-04-09,
9,3af0f820-9704-4885-982a-f2a00a5c100e,2021-04-09 02:02:40.334000+00:00,cf3e57ff-19b9-4fe8-9c00-1de55b51a0e4,ola,['Hallo'],[],['node_2_1616547303432'],1,[{'dialog_node': 'root'}],1,boas_vindas,1.0,2021-04-09,
